layer,head,mean_importance,std_importance,samples,baseline_mean
0,0,0.02309567339401296,0.0028142359919233815,470,0.09867450751047185
0,1,0.033589502368518646,0.0024266212920855987,470,0.09867450751047185
0,2,0.0018629178008500566,0.00032764276913739966,470,0.09867450751047185
0,3,0.0013970275508596542,0.0013711485889315435,470,0.09867450751047185
0,4,0.0020633615236333074,0.000659882537396116,470,0.09867450751047185
0,5,0.013956556619798884,0.0014641178654056296,470,0.09867450751047185
0,6,0.018456383136675712,0.003621878643127588,470,0.09867450751047185
0,7,-0.05580239655806663,0.020704788528824423,470,0.09867450751047185
0,8,-0.0013445642955125646,0.002781373009579137,470,0.09867450751047185
0,9,0.011530855210854653,0.0028645154587390634,470,0.09867450751047185
0,10,-0.00791630838462647,0.009221820715055994,470,0.09867450751047185
0,11,-0.0238340353474338,0.007946538240422001,470,0.09867450751047185
0,12,0.025347185099220022,0.003650989342723994,470,0.09867450751047185
0,13,0.008661850311971725,0.010062768470021329,470,0.09867450751047185
0,14,0.004793608862351864,0.007543719101729151,470,0.09867450751047185
0,15,0.0829731983112845,0.004180974916671172,470,0.09867450751047185
0,16,-0.009869644347023457,0.001691512157506774,470,0.09867450751047185
0,17,-0.045127983668700175,0.014113480208397138,470,0.09867450751047185
0,18,0.0015264930163926267,0.0006042390120257463,470,0.09867450751047185
0,19,0.004178427453053759,0.0012928447084552682,470,0.09867450751047185
0,20,-0.0033763021864789597,0.0007951991491285989,470,0.09867450751047185
0,21,-0.1277745297059734,0.014560473652814461,470,0.09867450751047185
0,22,-0.015333001735679646,0.002050492142253067,470,0.09867450751047185
0,23,-0.0146991260904581,0.0021632126428619666,470,0.09867450751047185
1,0,-0.019023448399248275,0.002567890878724532,470,0.2606330741315763
1,1,-0.008899464168922698,0.0008461743848716941,470,0.2606330741315763
1,2,-0.0033860702741336317,0.0013877599825662759,470,0.2606330741315763
1,3,-0.0021514585479459865,0.00021695156156904477,470,0.2606330741315763
1,4,-0.006375494757865338,0.0005145449218389551,470,0.2606330741315763
1,5,0.013096367222990127,0.002266878084702209,470,0.2606330741315763
1,6,-4.788922106331967e-05,0.010242657614141192,470,0.2606330741315763
1,7,0.002362639698734943,0.001690195909325369,470,0.2606330741315763
1,8,0.01064715648981485,0.0027867351709546773,470,0.2606330741315763
1,9,-0.009428745948095271,0.006209642751955022,470,0.2606330741315763
1,10,-0.001691338653735658,0.00102012293860817,470,0.2606330741315763
1,11,-0.007685814036967906,0.002518555258887734,470,0.2606330741315763
1,12,-0.0007894460270379452,0.00036071009399153155,470,0.2606330741315763
1,13,-0.005246885041607187,0.0006059103259567632,470,0.2606330741315763
1,14,-0.011503318015565263,0.0014656887838505755,470,0.2606330741315763
1,15,0.004729554314721138,0.000736854837870693,470,0.2606330741315763
1,16,-0.0032094547525048254,0.00068017143952978,470,0.2606330741315763
1,17,0.00205953272971067,0.001365386493292328,470,0.2606330741315763
1,18,0.002879552186486569,0.0006109528558750628,470,0.2606330741315763
1,19,-0.0004962826543982992,0.00025580644209579804,470,0.2606330741315763
1,20,-0.004503572355718055,0.0009886841080457341,470,0.2606330741315763
1,21,0.1776091853117055,0.08802533691051881,470,0.2606330741315763
1,22,-0.0030186627020544195,0.0037189157027366347,470,0.2606330741315763
1,23,0.036781977033837045,0.027505526013252398,470,0.2606330741315763
2,0,0.006533570286441357,0.0008211284592439406,470,0.2740388667805398
2,1,0.00036575065014210153,0.0009092667649965662,470,0.2740388667805398
2,2,0.0010538544624726822,0.0011175991546873067,470,0.2740388667805398
2,3,-0.0013208425980299077,0.013018180397808709,470,0.2740388667805398
2,4,-0.06689186096191406,0.014874142491429574,470,0.2740388667805398
2,5,-0.014237091135471424,0.004036476003083907,470,0.2740388667805398
2,6,-0.008034909429385307,0.0013933278295012827,470,0.2740388667805398
2,7,-0.0033761353727350843,0.0013345438778993885,470,0.2740388667805398
2,8,0.007887380265016505,0.0023913176814608027,470,0.2740388667805398
2,9,0.0015844882089406885,0.001713743057562973,470,0.2740388667805398
2,10,0.007441821504146495,0.0021754772426569834,470,0.2740388667805398
2,11,0.11051196597040967,0.008010106900499563,470,0.2740388667805398
2,12,0.00698827714362043,0.0011004324896465999,470,0.2740388667805398
2,13,0.00013338745115919315,0.001593970938841792,470,0.2740388667805398
2,14,0.016822001777906367,0.027522882950598307,470,0.2740388667805398
2,15,0.005624865835651438,0.0006495932194782517,470,0.2740388667805398
2,16,0.014959693597035206,0.0019289298926114288,470,0.2740388667805398
2,17,0.005430236133806249,0.0013491365873744613,470,0.2740388667805398
2,18,0.002598836613779372,0.004092114919743943,470,0.2740388667805398
2,19,0.005629329533970102,0.001638236854012971,470,0.2740388667805398
2,20,-0.001491957110293368,0.0013290448559898581,470,0.2740388667805398
2,21,0.00445672537576645,0.0007955920916182523,470,0.2740388667805398
2,22,0.0025492958248929773,0.002023637569048058,470,0.2740388667805398
2,23,-0.006863483263457075,0.0016396599221184924,470,0.2740388667805398
3,0,-0.030377619031895984,0.010997171687071247,470,0.6215161704953681
3,1,-0.053259897073532673,0.010081416189726234,470,0.6215161704953681
3,2,0.007559373309003546,0.00794326194118407,470,0.6215161704953681
3,3,-0.007739780970076297,0.002080011547094733,470,0.6215161704953681
3,4,-0.02019627274985009,0.001944177645421115,470,0.6215161704953681
3,5,0.0028896775017393395,0.0014959405820914873,470,0.6215161704953681
3,6,-0.003931474685668945,0.0015918630856882224,470,0.6215161704953681
3,7,0.00788729542747457,0.0024582353275194634,470,0.6215161704953681
3,8,-0.011226561982580955,0.001661558495852079,470,0.6215161704953681
3,9,-0.020164719414203724,0.0015133588183374228,470,0.6215161704953681
3,10,-0.008619001000485522,0.003917095787547115,470,0.6215161704953681
3,11,0.005926218692292559,0.008121722737636188,470,0.6215161704953681
3,12,-0.022324329139070308,0.0006307144780449221,470,0.6215161704953681
3,13,-0.005162933944387639,0.0005336570336475675,470,0.6215161704953681
3,14,0.011848914908601883,0.000991988553072454,470,0.6215161704953681
3,15,0.11754537830327419,0.034078644686653184,470,0.6215161704953681
3,16,0.18570045067908916,0.06489251087971186,470,0.6215161704953681
3,17,-0.034529061900808455,0.015262304250181706,470,0.6215161704953681
3,18,0.01373047134343614,0.005037130607782856,470,0.6215161704953681
3,19,-0.02044431925454038,0.003032114220364415,470,0.6215161704953681
3,20,-0.009766072637223183,0.0013592866698009815,470,0.6215161704953681
3,21,0.012452037220305585,0.00387336426487935,470,0.6215161704953681
3,22,-0.003116391599178314,0.020178960359600047,470,0.6215161704953681
3,23,0.019172965465707983,0.023208429656626922,470,0.6215161704953681
4,0,-0.029869226001678628,0.009300997628321936,470,-1.2217815562765648
4,1,0.21652180742710195,0.06871187562220643,470,-1.2217815562765648
4,2,0.018791526429196622,0.05417302232632399,470,-1.2217815562765648
4,3,-0.00787851372931866,0.0075939879363887495,470,-1.2217815562765648
4,4,0.006681400537490845,0.007484392264528734,470,-1.2217815562765648
4,5,0.012412022529764378,0.01985000640757518,470,-1.2217815562765648
4,6,0.0028169434121314515,0.006269295825843246,470,-1.2217815562765648
4,7,0.015112190550946175,0.021946629675060416,470,-1.2217815562765648
4,8,0.008231952596218029,0.010869905123058523,470,-1.2217815562765648
4,9,-0.01868686555547917,0.0027886290671448226,470,-1.2217815562765648
4,10,-0.008887131163414488,0.0039001849466076197,470,-1.2217815562765648
4,11,0.0034562943463629864,0.001430856170871886,470,-1.2217815562765648
4,12,0.018768989025278293,0.0012714891246334542,470,-1.2217815562765648
4,13,-0.012897745345501189,0.005989509912556438,470,-1.2217815562765648
4,14,0.018164427102880274,0.002441913627809657,470,-1.2217815562765648
4,15,-0.0046541239987028405,0.004789010443346822,470,-1.2217815562765648
4,16,0.012599040662988703,0.011880897680164799,470,-1.2217815562765648
4,17,0.004828108561799881,0.009031998653742443,470,-1.2217815562765648
4,18,-0.0019494526563806737,0.0030937086116585685,470,-1.2217815562765648
4,19,0.006836357966382453,0.02566362004201124,470,-1.2217815562765648
