emotion,kind,layer,w,w_norm,k_base,k_add,k_assigned,available,cap,k_used
happiness,attention,0,0.0,0.0,2,0,2,24,24,2
happiness,attention,1,0.0,0.0,2,0,2,24,24,2
happiness,attention,2,0.0702187638048629,0.0019327605423363407,2,0,2,24,24,2
happiness,attention,3,0.0,0.0,2,0,2,24,24,2
happiness,attention,4,0.2268487934898365,0.006243977725842521,2,1,3,24,24,3
happiness,attention,5,0.2068109767905872,0.005692439940607469,2,1,3,24,24,3
happiness,attention,6,0.2889351545962597,0.007952895149926111,2,1,3,24,24,3
happiness,attention,7,0.374465529493889,0.010307105403936938,2,1,3,24,24,3
happiness,attention,8,0.5056981483179407,0.01391926280726945,2,1,3,24,24,3
happiness,attention,9,0.7197576069816142,0.019811216083017277,2,2,4,24,24,4
happiness,attention,10,0.9089608395876928,0.025019005606053406,2,3,5,24,24,5
happiness,attention,11,1.2141792979113757,0.03342009615615348,2,4,6,24,24,6
happiness,attention,12,1.7620089245625885,0.048499021345676484,2,5,7,24,24,7
happiness,attention,13,1.916941047390733,0.05276350390727218,2,6,8,24,24,8
happiness,attention,14,1.8066578031633167,0.04972797477839238,2,6,8,24,24,8
happiness,attention,15,1.768734783049326,0.048684149553467636,2,5,7,24,24,7
happiness,attention,16,1.950184399263274,0.05367852199236414,2,6,8,24,24,8
happiness,attention,17,2.072305809591999,0.05703989480026138,2,6,8,24,24,8
happiness,attention,18,2.156284691350402,0.05935140044714562,2,7,9,24,24,9
happiness,attention,19,2.167841219103809,0.05966949207448145,2,7,9,24,24,9
happiness,attention,20,2.1883505961909995,0.06023400948598384,2,7,9,24,24,9
happiness,attention,21,2.2453310542405154,0.06180238772329381,2,7,9,24,24,9
happiness,attention,22,2.247778437512495,0.06186975156685564,2,7,9,24,24,9
happiness,attention,23,2.1988519268796805,0.0605230569783822,2,7,9,24,24,9
happiness,attention,24,2.0597387666193274,0.056693988898828485,2,6,8,24,24,8
happiness,attention,25,1.940416859451624,0.053409671979622264,2,6,8,24,24,8
happiness,attention,26,1.747129974858603,0.0480894805713731,2,5,7,24,24,7
happiness,attention,27,1.5863826137519754,0.04366493448145653,2,5,7,24,24,7
happiness,mlp,0,0.0,0.0,4,0,4,8192,8192,4
happiness,mlp,1,0.0654033897475353,0.0018271810809264467,4,1,5,8192,8192,5
happiness,mlp,2,0.0,0.0,4,0,4,8192,8192,4
happiness,mlp,3,0.0,0.0,4,0,4,8192,8192,4
happiness,mlp,4,0.2285785231859464,0.00638582120412509,4,2,6,8192,8192,6
happiness,mlp,5,0.2130824864631647,0.005952906866833035,4,2,6,8192,8192,6
happiness,mlp,6,0.3248343131419831,0.009074928894356512,4,3,7,8192,8192,7
happiness,mlp,7,0.4279660554742433,0.011956130758050257,4,3,7,8192,8192,7
happiness,mlp,8,0.6593656705097615,0.01842076508906358,4,5,9,8192,8192,9
happiness,mlp,9,0.7656404198207882,0.02138977345500423,4,6,10,8192,8192,10
happiness,mlp,10,1.0798066689170884,0.03016666757058816,4,8,12,8192,8192,12
happiness,mlp,11,1.1879590366501271,0.033188131151329486,4,9,13,8192,8192,13
happiness,mlp,12,1.579212060852801,0.04411860626030995,4,12,16,8192,8192,16
happiness,mlp,13,1.7584982427721754,0.04912734236617766,4,14,18,8192,8192,18
happiness,mlp,14,1.6807306227509011,0.04695474053988006,4,13,17,8192,8192,17
happiness,mlp,15,1.828089292575255,0.051071514527480495,4,14,18,8192,8192,18
happiness,mlp,16,2.0180569398579715,0.056378659806080804,4,16,20,8192,8192,20
happiness,mlp,17,2.157691405925281,0.06027964193603331,4,17,21,8192,8192,21
happiness,mlp,18,2.17079070218967,0.060645598293955015,4,17,21,8192,8192,21
happiness,mlp,19,2.202005070423286,0.0615176372404025,4,17,21,8192,8192,21
happiness,mlp,20,2.2375876990718817,0.06251171271764173,4,18,22,8192,8192,22
happiness,mlp,21,2.2612967485498863,0.06317407481875273,4,18,22,8192,8192,22
happiness,mlp,22,2.222908595865263,0.06210162113419882,4,17,21,8192,8192,21
happiness,mlp,23,2.068270736144074,0.05778148768594492,4,16,20,8192,8192,20
happiness,mlp,24,1.9413483293374936,0.05423564363477518,4,15,19,8192,8192,19
happiness,mlp,25,1.7665412264348672,0.04935204001012852,4,14,18,8192,8192,18
happiness,mlp,26,1.619179535029807,0.045235181608323835,4,13,17,8192,8192,17
happiness,mlp,27,1.3298513629439053,0.037152191349637535,4,10,14,8192,8192,14
