emotion,kind,layer,alpha,sigma,dose,s_base_final,s_final,ds_final,I_final,s_base_anchor,s_anchor,ds_anchor,I_anchor,n_samples
sadness,attention,0,0.5,0.024746809686933244,0.012373404843466622,0.05994866397895653,0.06116996383766958,0.0012212998587130472,0.09870362072230388,,,,,477
sadness,attention,1,0.5,0.03355450857253302,0.01677725428626651,0.05994866397895653,0.05898316457586469,-0.0009654994030918462,-0.05754811762507425,,,,,477
sadness,attention,2,0.5,0.04446781249273391,0.022233906246366956,0.05994866397895653,0.05965446563636732,-0.0002941983425892164,-0.01323196829784639,,,,,477
sadness,attention,3,0.5,0.05272324879964193,0.026361624399820965,0.05994866397895653,0.06024505982109086,0.00029639584213432546,0.011243458962883124,,,,,477
sadness,attention,4,0.5,0.07425630660284133,0.03712815330142066,0.05994866397895653,0.0611998581911283,0.0012511942121717634,0.03369933866664702,,,,,477
sadness,attention,5,0.5,0.09585160300845191,0.04792580150422596,0.05994866397895653,0.059866070247546185,-8.259373141034781e-05,-0.00172336672143219,,,,,477
sadness,attention,6,0.5,0.10027883166358584,0.05013941583179292,0.05994866397895653,0.05918692324146534,-0.00076174073749119,-0.01519245337932672,,,,,477
sadness,attention,7,0.5,0.12613108044578916,0.06306554022289458,0.05994866397895653,0.06356867698003661,0.003620013001080079,0.057400808560201806,,,,,477
sadness,attention,8,0.5,0.13033072153727213,0.06516536076863606,0.05994866397895653,0.06374445251448849,0.0037957885355319534,0.05824856167080192,,,,,477
sadness,attention,9,0.5,0.13836706252325148,0.06918353126162574,0.05994866397895653,0.06723080478624228,0.007282140807285752,0.10525829882472276,,,,,477
sadness,attention,10,0.5,0.1499653316679455,0.07498266583397276,0.05994866397895653,0.07182262822267145,0.011873964243714917,0.15835612286720172,,,,,477
sadness,attention,11,0.5,0.15608846573602586,0.07804423286801293,0.05994866397895653,0.07951759423599802,0.01956893025704149,0.25074152871918326,,,,,477
sadness,attention,12,0.5,0.1668252490815662,0.0834126245407831,0.05994866397895653,0.1039275988717749,0.043978934892818365,0.5272455474808332,,,,,477
sadness,attention,13,0.5,0.19299743289039248,0.09649871644519624,0.05994866397895653,0.15404532178143035,0.09409665780247381,0.9751078695011802,,,,,477
