emotion,kind,layer,alpha,sigma,dose,s_base_final,s_final,ds_final,I_final,s_base_anchor,s_anchor,ds_anchor,I_anchor,n_samples
happiness,attention,0,0.1,0.024746809686933244,0.0024746809686933247,12.937103776475217,12.936573901835908,-0.0005298746393087583,-0.2141183635434597,,,,,470
happiness,attention,1,0.1,0.03355450857253302,0.003355450857253302,12.937103776475217,12.936865936187987,-0.00023784028723028428,-0.07088176741320988,,,,,470
happiness,attention,2,0.1,0.04446781249273391,0.004446781249273391,12.937103776475217,12.937408924863693,0.0003051483884757289,0.06862230709585511,,,,,470
happiness,attention,3,0.1,0.05272324879964193,0.005272324879964194,12.937103776475217,12.937019704504216,-8.407197100090968e-05,-0.015945901080640663,,,,,470
happiness,attention,4,0.1,0.07425630660284133,0.007425630660284133,12.937103776475217,12.938746078217283,0.0016423017420663655,0.221166634485363,,,,,470
happiness,attention,5,0.1,0.09585160300845191,0.009585160300845191,12.937103776475217,12.9390687853732,0.0019650088979830116,0.20500532451290804,,,,,470
happiness,attention,6,0.1,0.10027883166358584,0.010027883166358584,12.937103776475217,12.939971996621882,0.0028682201466647683,0.2860244878288009,,,,,470
happiness,attention,7,0.1,0.12613108044578916,0.012613108044578917,12.937103776475217,12.94177205841592,0.004668281940702457,0.37011352984555407,,,,,470
happiness,attention,8,0.1,0.13033072153727213,0.013033072153727213,12.937103776475217,12.943695884308916,0.00659210783369879,0.5057984607116267,,,,,470
happiness,attention,9,0.1,0.13836706252325148,0.01383670625232515,12.937103776475217,12.947042403576221,0.009938627101004016,0.7182798362387659,,,,,470
happiness,attention,10,0.1,0.1499653316679455,0.014996533166794552,12.937103776475217,12.950701142118332,0.013597365643114756,0.9067006015245014,,,,,470
happiness,attention,11,0.1,0.15608846573602586,0.015608846573602586,12.937103776475217,12.956021000983867,0.018917224508649966,1.2119553113323858,,,,,470
happiness,attention,12,0.1,0.1668252490815662,0.01668252490815662,12.937103776475217,12.966447006895187,0.029343230419970112,1.7589202222993996,,,,,470
happiness,attention,13,0.1,0.19299743289039248,0.01929974328903925,12.937103776475217,12.974078994355303,0.03697521788008551,1.9158398806830013,,,,,470
happiness,attention,14,0.1,0.21573316483270555,0.021573316483270558,12.937103776475217,12.976083013098291,0.03897923662307434,1.8068263474140167,,,,,470
happiness,attention,15,0.1,0.25008533114478704,0.025008533114478704,12.937103776475217,12.981341480194255,0.04423770371903757,1.7689043782190539,,,,,470
happiness,attention,16,0.1,0.2807611737932478,0.028076117379324778,12.937103776475217,12.991845183423225,0.054741406948007665,1.9497498962701723,,,,,470
happiness,attention,17,0.1,0.29693485441662015,0.029693485441662018,12.937103776475217,12.998644817382731,0.06154104090751389,2.072543522329903,,,,,470
happiness,attention,18,0.1,0.3229855128696987,0.032298551286969866,12.937103776475217,13.006738261719967,0.06963448524474991,2.155963115065238,,,,,470
happiness,attention,19,0.1,0.3499829428536551,0.034998294285365515,12.937103776475217,13.012926910025008,0.07582313354979142,2.166480827081243,,,,,470
happiness,attention,20,0.1,0.3824343000139509,0.038243430001395094,12.937103776475217,13.020745828811158,0.08364205233594113,2.187095988327666,,,,,470
happiness,attention,21,0.1,0.3979862758091518,0.03979862758091518,12.937103776475217,13.02643970276447,0.08933592628925346,2.244698667249851,,,,,470
happiness,attention,22,0.1,0.44934290931338355,0.044934290931338355,12.937103776475217,13.03811657301923,0.10101279654401374,2.2480113617096107,,,,,470
happiness,attention,23,0.1,0.5047627403622582,0.05047627403622582,12.937103776475217,13.048148272392597,0.11104449591737975,2.199934484817269,,,,,470
happiness,attention,24,0.1,0.556824457077753,0.0556824457077753,12.937103776475217,13.05184642177947,0.11474264530425238,2.0606610188501495,,,,,470
happiness,attention,25,0.1,0.6123204912458148,0.06123204912458148,12.937103776475217,13.055939561762708,0.11883578528749084,1.9407448711329254,,,,,470
happiness,attention,26,0.1,0.7091385977608817,0.07091385977608818,12.937103776475217,13.061029768497386,0.12392599202216914,1.747556717593257,,,,,470
happiness,attention,27,0.1,0.7923965454101562,0.07923965454101563,12.937103776475217,13.062839918948235,0.12573614247301812,1.5867830722045262,,,,,470
happiness,mlp,0,0.1,0.028173367182413738,0.002817336718241374,12.937103776475217,12.936541807651519,-0.000561968823697967,-0.19946810761361772,,,,,470
happiness,mlp,1,0.1,0.03440512929643903,0.0034405129296439033,12.937103776475217,12.937322588169827,0.00021881169461046568,0.06359856773830318,,,,,470
happiness,mlp,2,0.1,0.047152962003435404,0.004715296200343541,12.937103776475217,12.936759459211471,-0.0003443172637460634,-0.07302134354167986,,,,,470
happiness,mlp,3,0.1,0.05883604004269555,0.005883604004269555,12.937103776475217,12.936912446326398,-0.00019133014881944632,-0.03251920909031331,,,,,470
happiness,mlp,4,0.1,0.07728308723086402,0.007728308723086403,12.937103776475217,12.938829578744604,0.0017258022693873443,0.2233091781429407,,,,,470
happiness,mlp,5,0.1,0.09360138575236003,0.009360138575236003,12.937103776475217,12.93907351290926,0.001969736434043412,0.210438811157638,,,,,470
happiness,mlp,6,0.1,0.09779841559273857,0.009779841559273857,12.937103776475217,12.940255564070762,0.00315178759554513,0.3222738912939145,,,,,470
happiness,mlp,7,0.1,0.11729521978469122,0.011729521978469123,12.937103776475217,12.942092958663372,0.004989182188154473,0.42535255889478585,,,,,470
happiness,mlp,8,0.1,0.11951537359328497,0.011951537359328497,12.937103776475217,12.944994029085686,0.007890252610469162,0.6601872523379267,,,,,470
happiness,mlp,9,0.1,0.1384358179001581,0.01384358179001581,12.937103776475217,12.947694337621648,0.010590561146431199,0.7650159696437279,,,,,470
happiness,mlp,10,0.1,0.14277108510335287,0.014277108510335288,12.937103776475217,12.952493215114512,0.01538943863929454,1.0779100423698558,,,,,470
happiness,mlp,11,0.1,0.1538222176688058,0.015382221766880581,12.937103776475217,12.955397287074556,0.018293510599338703,1.189263220656876,,,,,470
happiness,mlp,12,0.1,0.16940902528308688,0.01694090252830869,12.937103776475217,12.963891714177233,0.02678793770201615,1.5812580030640522,,,,,470
happiness,mlp,13,0.1,0.19886348361060732,0.019886348361060735,12.937103776475217,12.972067507023507,0.03496373054828972,1.7581775152220434,,,,,470
happiness,mlp,14,0.1,0.2291873296101888,0.022918732961018883,12.937103776475217,12.975660716472788,0.03855693999757115,1.6823329659257502,,,,,470
happiness,mlp,15,0.1,0.2604990913754418,0.02604990913754418,12.937103776475217,12.984720469028392,0.047616692553175355,1.8279024430280355,,,,,470
happiness,mlp,16,0.1,0.29472378322056364,0.029472378322056365,12.937103776475217,12.996588608305505,0.05948483183028763,2.01832479144619,,,,,470
happiness,mlp,17,0.1,0.3170248667399089,0.031702486673990886,12.937103776475217,13.005506911937227,0.0684031354620096,2.157658361800634,,,,,470
happiness,mlp,18,0.1,0.3383351280575707,0.033833512805757075,12.937103776475217,13.010512546529162,0.07340877005394475,2.1697058320664118,,,,,470
happiness,mlp,19,0.1,0.37498555864606586,0.03749855586460659,12.937103776475217,13.01962423806495,0.08252046158973236,2.2006303892790755,,,,,470
happiness,mlp,20,0.1,0.39758555094401044,0.039758555094401044,12.937103776475217,13.026036968890656,0.08893319241543907,2.236831600250055,,,,,470
happiness,mlp,21,0.1,0.43079367138090585,0.04307936713809059,12.937103776475217,13.034512095248445,0.09740831877322798,2.261136252558826,,,,,470
happiness,mlp,22,0.1,0.4785931905110677,0.04785931905110677,12.937103776475217,13.043510944285291,0.1064071678100742,2.2233322562831885,,,,,470
happiness,mlp,23,0.1,0.5382461547851562,0.05382461547851563,12.937103776475217,13.048482835039179,0.11137905856396202,2.0692959452431117,,,,,470
happiness,mlp,24,0.1,0.5975563412620908,0.05975563412620908,12.937103776475217,13.053148195591378,0.11604441911616092,1.9419828910369363,,,,,470
happiness,mlp,25,0.1,0.6637131827218192,0.06637131827218193,12.937103776475217,13.054369611435748,0.11726583496053067,1.7668149136293418,,,,,470
happiness,mlp,26,0.1,0.7567894345238095,0.07567894345238096,12.937103776475217,13.059688937917668,0.12258516144245135,1.6198054022726271,,,,,470
happiness,mlp,27,0.1,1.6176143827892484,0.16176143827892486,12.937103776475217,13.152748167261164,0.21564439078594688,1.333101344055261,,,,,470
