emotion,kind,layer,alpha,sigma,dose,s_base_final,s_final,ds_final,I_final,s_base_anchor,s_anchor,ds_anchor,I_anchor,n_samples
happiness,attention,0,0.7,0.024746809686933244,0.01732276678085327,12.8519751003448,12.848304203469702,-0.0036708968750982507,-0.21191169525850032,,,,,470
happiness,attention,1,0.7,0.03355450857253302,0.02348815600077311,12.8519751003448,12.850222784661232,-0.0017523156835679288,-0.07460422535980481,,,,,470
happiness,attention,2,0.7,0.04446781249273391,0.031127468744913737,12.8519751003448,12.85416935580842,0.002194255463619399,0.0704925762387262,,,,,470
happiness,attention,3,0.7,0.05272324879964193,0.03690627415974935,12.8519751003448,12.851826622638297,-0.00014847770650305847,-0.004023102030304401,,,,,470
happiness,attention,4,0.7,0.07425630660284133,0.05197941462198893,12.8519751003448,12.863852476820032,0.011877376475231571,0.2285015435746571,,,,,470
happiness,attention,5,0.7,0.09585160300845191,0.06709612210591634,12.8519751003448,12.865868739878877,0.01389363953407674,0.20707067857281786,,,,,470
happiness,attention,6,0.7,0.10027883166358584,0.07019518216451008,12.8519751003448,12.872337679660067,0.020362579315266416,0.2900851409936438,,,,,470
happiness,attention,7,0.7,0.12613108044578916,0.08829175631205241,12.8519751003448,12.885254914709861,0.033279814365061,0.3769300301088029,,,,,470
happiness,attention,8,0.7,0.13033072153727213,0.09123150507609049,12.8519751003448,12.898048173113072,0.04607307276827122,0.5050127445540282,,,,,470
happiness,attention,9,0.7,0.13836706252325148,0.09685694376627603,12.8519751003448,12.921721040441636,0.06974594009683521,0.7200923071157195,,,,,470
happiness,attention,10,0.7,0.1499653316679455,0.10497573216756186,12.8519751003448,12.947353960351741,0.09537886000694051,0.9085800883455345,,,,,470
happiness,attention,11,0.7,0.15608846573602586,0.1092619260152181,12.8519751003448,12.984644643296587,0.13266954295178657,1.2142339769235646,,,,,470
happiness,attention,12,0.7,0.1668252490815662,0.11677767435709634,12.8519751003448,13.057843498980745,0.20586839863594442,1.762908875941613,,,,,470
happiness,attention,13,0.7,0.19299743289039248,0.13509820302327472,12.8519751003448,13.110797463833018,0.25882236348821763,1.9158090758885056,,,,,470
happiness,attention,14,0.7,0.21573316483270555,0.15101321538289386,12.8519751003448,13.124467434781662,0.27249233443686194,1.8044270744514503,,,,,470
happiness,attention,15,0.7,0.25008533114478704,0.17505973180135093,12.8519751003448,13.16123313396535,0.3092580336205497,1.76658578439661,,,,,470
happiness,attention,16,0.7,0.2807611737932478,0.19653282165527344,12.8519751003448,13.234890366107859,0.38291526576305834,1.948352761325064,,,,,470
happiness,attention,17,0.7,0.29693485441662015,0.20785439809163408,12.8519751003448,13.282291074509317,0.4303159741645164,2.0702760110700593,,,,,470
happiness,attention,18,0.7,0.3229855128696987,0.22608985900878906,12.8519751003448,13.339292648498049,0.4873175481532481,2.155415330389958,,,,,470
happiness,attention,19,0.7,0.3499829428536551,0.24498805999755857,12.8519751003448,13.383009028434753,0.5310339280899523,2.1675910576835635,,,,,470
happiness,attention,20,0.7,0.3824343000139509,0.2677040100097656,12.8519751003448,13.437606074454937,0.5856309741101366,2.187606282359287,,,,,470
happiness,attention,21,0.7,0.3979862758091518,0.27859039306640626,12.8519751003448,13.477154331765277,0.6251792314204767,2.2440803666602234,,,,,470
happiness,attention,22,0.7,0.44934290931338355,0.31454003651936846,12.8519751003448,13.558408376637926,0.7064332762931258,2.2459248244209626,,,,,470
happiness,attention,23,0.7,0.5047627403622582,0.35333391825358074,12.8519751003448,13.628120458886979,0.7761453585421787,2.196634170810498,,,,,470
