emotion,kind,layer,alpha,sigma,dose,s_base_final,s_final,ds_final,I_final,s_base_anchor,s_anchor,ds_anchor,I_anchor,n_samples
sadness,attention,0,0.1,0.024746809686933244,0.0024746809686933247,0.0754533110174743,0.0757005839477795,0.0002472729303052007,0.09992113465670897,,,,,477
sadness,attention,1,0.1,0.03355450857253302,0.003355450857253302,0.0754533110174743,0.07526549609452174,-0.00018781492295255608,-0.05597308109775067,,,,,477
sadness,attention,2,0.1,0.04446781249273391,0.004446781249273391,0.0754533110174743,0.07540201178636691,-5.129923110738788e-05,-0.011536261451082224,,,,,477
sadness,attention,3,0.1,0.05272324879964193,0.005272324879964194,0.0754533110174743,0.07553543403463543,8.212301716113701e-05,0.015576243693407365,,,,,477
sadness,attention,4,0.1,0.07425630660284133,0.007425630660284133,0.0754533110174743,0.0757118391040986,0.00025852808662429894,0.0348156403747674,,,,,477
sadness,attention,5,0.1,0.09585160300845191,0.009585160300845191,0.0754533110174743,0.07545445175290857,1.140735434279616e-06,0.0001190105745210155,,,,,477
sadness,attention,6,0.1,0.10027883166358584,0.010027883166358584,0.0754533110174743,0.07531117649448243,-0.00014213452299186025,-0.014173930891884675,,,,,477
sadness,attention,7,0.1,0.12613108044578916,0.012613108044578917,0.0754533110174743,0.0761620185535159,0.0007087075360416029,0.05618817610511183,,,,,477
sadness,attention,8,0.1,0.13033072153727213,0.013033072153727213,0.0754533110174743,0.0761997498556253,0.000746438838151009,0.05727266981619077,,,,,477
sadness,attention,9,0.1,0.13836706252325148,0.01383670625232515,0.0754533110174743,0.07690151519995315,0.00144820418247886,0.10466393924027263,,,,,477
sadness,attention,10,0.1,0.1499653316679455,0.014996533166794552,0.0754533110174743,0.07779342036077311,0.002340109343298813,0.15604335463881094,,,,,477
sadness,attention,11,0.1,0.15608846573602586,0.015608846573602586,0.0754533110174743,0.07934023892854494,0.003886927911070648,0.24902082884485222,,,,,477
sadness,attention,12,0.1,0.1668252490815662,0.01668252490815662,0.0754533110174743,0.08416142359969501,0.00870811258222072,0.5219900842445645,,,,,477
sadness,attention,13,0.1,0.19299743289039248,0.01929974328903925,0.0754533110174743,0.09410384747217286,0.018650536454698566,0.9663618927662431,,,,,477
sadness,attention,14,0.1,0.21573316483270555,0.021573316483270558,0.0754533110174743,0.1017500736928336,0.02629676267535931,1.2189485420914137,,,,,477
sadness,attention,15,0.1,0.25008533114478704,0.025008533114478704,0.0754533110174743,0.11641720493384627,0.04096389391637198,1.637996668131483,,,,,477
sadness,attention,16,0.1,0.2807611737932478,0.028076117379324778,0.0754533110174743,0.12332988997425423,0.047876578956779936,1.7052421568815708,,,,,477
sadness,attention,17,0.1,0.29693485441662015,0.029693485441662018,0.0754533110174743,0.1322789187201414,0.05682560770266709,1.913739894708919,,,,,477
sadness,attention,18,0.1,0.3229855128696987,0.032298551286969866,0.0754533110174743,0.1412591628683438,0.06580585185086951,2.037424256778273,,,,,477
sadness,attention,19,0.1,0.3499829428536551,0.034998294285365515,0.0754533110174743,0.1478000301984871,0.07234671918101279,2.0671498613938013,,,,,477
sadness,attention,20,0.1,0.3824343000139509,0.038243430001395094,0.0754533110174743,0.16094791514318693,0.08549460412571264,2.2355370353180626,,,,,477
