emotion,kind,layer,alpha,sigma,dose,s_base_final,s_final,ds_final,I_final,s_base_anchor,s_anchor,ds_anchor,I_anchor,n_samples
happiness,attention,0,0.5,0.024746809686933244,0.012373404843466622,12.8519751003448,12.849353328664252,-0.002621771680548335,-0.2118876504661267,,,,,470
happiness,attention,1,0.5,0.03355450857253302,0.01677725428626651,12.8519751003448,12.850713011812656,-0.0012620885321439346,-0.07522616696446285,,,,,470
happiness,attention,2,0.5,0.04446781249273391,0.022233906246366956,12.8519751003448,12.853548269576216,0.0015731692314151502,0.07075541355546588,,,,,470
happiness,attention,3,0.5,0.05272324879964193,0.026361624399820965,12.8519751003448,12.85180853630634,-0.00016656403846049272,-0.006318428482791977,,,,,470
happiness,attention,4,0.5,0.07425630660284133,0.03712815330142066,12.8519751003448,12.86046783746557,0.008492737120770144,0.22874116716290277,,,,,470
happiness,attention,5,0.5,0.09585160300845191,0.04792580150422596,12.8519751003448,12.861915259919268,0.0099401595744677,0.207407268370696,,,,,470
happiness,attention,6,0.5,0.10027883166358584,0.05013941583179292,12.8519751003448,12.866510461239104,0.014535360894303295,0.2898988879939555,,,,,470
happiness,attention,7,0.5,0.12613108044578916,0.06306554022289458,12.8519751003448,12.87568212341755,0.023707023072748967,0.37591088554796276,,,,,470
happiness,attention,8,0.5,0.13033072153727213,0.06516536076863606,12.8519751003448,12.884926530655394,0.03295143031059311,0.505658680039911,,,,,470
happiness,attention,9,0.5,0.13836706252325148,0.06918353126162574,12.8519751003448,12.901804683817193,0.04982958347239297,0.720252097048306,,,,,470
happiness,attention,10,0.5,0.1499653316679455,0.07498266583397276,12.8519751003448,12.920188369903158,0.06821326955835794,0.909720517397932,,,,,470
happiness,attention,11,0.5,0.15608846573602586,0.07804423286801293,12.8519751003448,12.946793031438869,0.09481793109406844,1.2149255314537193,,,,,470
happiness,attention,12,0.5,0.1668252490815662,0.0834126245407831,12.8519751003448,12.999035729499573,0.14706062915477247,1.7630500174811046,,,,,470
happiness,attention,13,0.5,0.19299743289039248,0.09649871644519624,12.8519751003448,13.036993601474355,0.1850185011295551,1.9173156695263527,,,,,470
happiness,attention,14,0.5,0.21573316483270555,0.10786658241635277,12.8519751003448,13.04684791590305,0.19487281555825042,1.806609713526136,,,,,470
happiness,attention,15,0.5,0.25008533114478704,0.12504266557239352,12.8519751003448,13.0731350873379,0.2211599869930989,1.768676203284056,,,,,470
happiness,attention,16,0.5,0.2807611737932478,0.1403805868966239,12.8519751003448,13.125763849501913,0.27378874915711293,1.9503319882736398,,,,,470
