emotion,kind,layer,alpha,sigma,dose,s_base_final,s_final,ds_final,I_final,s_base_anchor,s_anchor,ds_anchor,I_anchor,n_samples
fear,attention,0,0.7,0.024746809686933244,0.01732276678085327,-8.162142317990462,-8.162065313259761,7.700473070038072e-05,0.0044452905055267205,,,,,480
fear,attention,1,0.7,0.03355450857253302,0.02348815600077311,-8.162142317990462,-8.162720607221127,-0.0005782892306651632,-0.024620461080304853,,,,,480
fear,attention,2,0.7,0.04446781249273391,0.031127468744913737,-8.162142317990462,-8.160607453187307,0.0015348648031547896,0.04930901435426188,,,,,480
fear,attention,3,0.7,0.05272324879964193,0.03690627415974935,-8.162142317990462,-8.160697391132514,0.001444926857947948,0.039151252486055915,,,,,480
fear,attention,4,0.7,0.07425630660284133,0.05197941462198893,-8.162142317990462,-8.158676229417324,0.0034660885731376823,0.06668194704277061,,,,,480
fear,attention,5,0.7,0.09585160300845191,0.06709612210591634,-8.162142317990462,-8.164257684101662,-0.00211536611119989,-0.031527397482981556,,,,,480
fear,attention,6,0.7,0.10027883166358584,0.07019518216451008,-8.162142317990462,-8.15390309865276,0.008239219337701442,0.11737585235396827,,,,,480
fear,attention,7,0.7,0.12613108044578916,0.08829175631205241,-8.162142317990462,-8.14959900478522,0.012543313205242157,0.14206664052428541,,,,,480
fear,attention,8,0.7,0.13033072153727213,0.09123150507609049,-8.162142317990462,-8.149716122696796,0.012426195293665288,0.13620508927591818,,,,,480
fear,attention,9,0.7,0.13836706252325148,0.09685694376627603,-8.162142317990462,-8.131526584674914,0.0306157333155479,0.3160922916319376,,,,,480
fear,attention,10,0.7,0.1499653316679455,0.10497573216756186,-8.162142317990462,-8.119937105228503,0.04220521276195832,0.40204732932551046,,,,,480
fear,attention,11,0.7,0.15608846573602586,0.1092619260152181,-8.162142317990462,-8.120057664066554,0.04208465392390792,0.3851721771593733,,,,,480
fear,attention,12,0.7,0.1668252490815662,0.11677767435709634,-8.162142317990462,-8.096338657786449,0.06580366020401307,0.5634952105895772,,,,,480
fear,attention,13,0.7,0.19299743289039248,0.13509820302327472,-8.162142317990462,-8.070254549880822,0.09188776810963972,0.6801553688601565,,,,,480
fear,attention,14,0.7,0.21573316483270555,0.15101321538289386,-8.162142317990462,-8.019784589111804,0.1423577288786575,0.9426839135747797,,,,,480
fear,attention,15,0.7,0.25008533114478704,0.17505973180135093,-8.162142317990462,-7.934572488442063,0.22756982954839877,1.2999553192885827,,,,,480
fear,attention,16,0.7,0.2807611737932478,0.19653282165527344,-8.162142317990462,-7.88852942523857,0.27361289275189193,1.3921994832589342,,,,,480
fear,attention,17,0.7,0.29693485441662015,0.20785439809163408,-8.162142317990462,-7.830440508201718,0.3317018097887434,1.5958373401486088,,,,,480
fear,attention,18,0.7,0.3229855128696987,0.22608985900878906,-8.162142317990462,-7.762730824202299,0.399411493788163,1.7666050814452328,,,,,480
fear,attention,19,0.7,0.3499829428536551,0.24498805999755857,-8.162142317990462,-7.672960620497664,0.48918169749279805,1.9967573011422393,,,,,480
fear,attention,20,0.7,0.3824343000139509,0.2677040100097656,-8.162142317990462,-7.601733282953501,0.5604090350369608,2.093390513711459,,,,,480
fear,attention,21,0.7,0.3979862758091518,0.27859039306640626,-8.162142317990462,-7.53687946771582,0.625262850274642,2.244380516472444,,,,,480
fear,attention,22,0.7,0.44934290931338355,0.31454003651936846,-8.162142317990462,-7.428316661094626,0.7338256568958359,2.3330119275631516,,,,,480
fear,attention,23,0.7,0.5047627403622582,0.35333391825358074,-8.162142317990462,-7.349082627644141,0.8130596903463205,2.3011085218340224,,,,,480
fear,attention,24,0.7,0.556824457077753,0.38977711995442704,-8.162142317990462,-7.279042075574398,0.8831002424160639,2.265654388639632,,,,,480
fear,attention,25,0.7,0.6123204912458148,0.4286243438720703,-8.162142317990462,-7.25619123938183,0.9059510786086316,2.1136248828625255,,,,,480
