emotion,kind,layer,alpha,sigma,dose,s_base_final,s_final,ds_final,I_final,s_base_anchor,s_anchor,ds_anchor,I_anchor,n_samples
happiness,attention,0,0.3,0.024746809686933244,0.007424042906079973,12.8519751003448,12.850402168010143,-0.0015729323346569402,-0.21187004904952475,,,,,470
happiness,attention,1,0.3,0.03355450857253302,0.010066352571759906,12.8519751003448,12.851211770291025,-0.0007633300537754906,-0.07582985478940335,,,,,470
happiness,attention,2,0.3,0.04446781249273391,0.013340343747820173,12.8519751003448,12.852922328228646,0.0009472278838451587,0.07100475832940488,,,,,470
happiness,attention,3,0.3,0.05272324879964193,0.015816974639892577,12.8519751003448,12.851839229147485,-0.00013587119731539588,-0.00859021402061998,,,,,470
happiness,attention,4,0.3,0.07425630660284133,0.022276891980852396,12.8519751003448,12.857076192916708,0.005101092571907273,0.2289858287364235,,,,,470
happiness,attention,5,0.3,0.09585160300845191,0.028755480902535574,12.8519751003448,12.85794935733714,0.005974256992340443,0.20776063570592732,,,,,470
happiness,attention,6,0.3,0.10027883166358584,0.03008364949907575,12.8519751003448,12.860691299337022,0.008716198992221535,0.2897321015686385,,,,,470
happiness,attention,7,0.3,0.12613108044578916,0.037839324133736744,12.8519751003448,12.86616135328374,0.014186252938939603,0.37490767247323636,,,,,470
happiness,attention,8,0.3,0.13033072153727213,0.039099216461181634,12.8519751003448,12.871771921502782,0.01979682115798198,0.5063227079661967,,,,,470
happiness,attention,9,0.3,0.13836706252325148,0.041510118756975446,12.8519751003448,12.881879246742168,0.02990414639736727,0.7204061875236654,,,,,470
happiness,attention,10,0.3,0.1499653316679455,0.04498959950038365,12.8519751003448,12.892953523930084,0.04097842358528325,0.9108421510828032,,,,,470
happiness,attention,11,0.3,0.15608846573602586,0.046826539720807754,12.8519751003448,12.908897553098962,0.05692245275416141,1.215602371935833,,,,,470
happiness,attention,12,0.3,0.1668252490815662,0.050047574724469863,12.8519751003448,12.940216811159823,0.08824171081502286,1.763156582528237,,,,,470
happiness,attention,13,0.3,0.19299743289039248,0.05789922986711774,12.8519751003448,12.96307211733879,0.11109701699398933,1.918799563465071,,,,,470
happiness,attention,14,0.3,0.21573316483270555,0.06471994944981166,12.8519751003448,12.969038478871608,0.11706337852680804,1.8087680772616657,,,,,470
